,date,target,volume,trend_sma_fast,trend_sma_slow,trend_adx,volume_obv,trend_ema_fast,trend_ema_slow,trend_macd,momentum_rsi,trend_aroon_ind
807,2019-04-02,4857.29,105383.639263,5059.450833333333,5169.474230769231,35.76309830152752,-4265433.747168004,5044.884484857653,5288.826298233031,-243.94181337537793,32.78526380338488,-84.0
808,2019-04-01,4144.56,25507.067641,4984.395833333333,5125.200000000001,36.26879853292525,-4290940.814809004,4906.373025648783,5204.065831697251,-297.6928060484679,21.295022181696197,-88.0
809,2019-03-31,4103.95,13525.087433,4905.724166666667,5078.655769230769,36.73837731922315,-4304465.902242004,4782.923329395125,5122.575770090048,-339.6524406949229,20.846709901573803,-92.0
810,2019-03-30,4106.97,19509.292601,4829.8575,5035.850769230769,37.252094726531126,-4284956.609641004,4678.930509488182,5047.34571304634,-368.4152035581583,20.979938830591536,-92.0
811,2019-03-29,4103.25,30084.217444,4729.440833333333,4985.398846153846,37.80282035851203,-4315040.827085004,4590.364277259231,4977.41269726513,-387.04842000589906,20.93319913813417,-96.0
812,2019-03-28,4027.81,20089.293875,4635.925,4929.033461538462,38.37463036266644,-4335130.120960005,4503.817465373195,4907.071756726972,-403.25429135377726,19.96195560223694,-52.0
813,2019-03-27,4038.05,32364.555852,4536.020833333334,4878.299230769231,39.08807942192823,-4302765.565108005,4432.160932238857,4842.699774747197,-410.53884250834017,20.501138866837508,-52.0
814,2019-03-26,3948.55,29349.537627,4434.2108333333335,4828.007307692308,39.86665575931521,-4332115.102735005,4357.759250355956,4776.466458099257,-418.7072077433004,19.278704518893548,-60.0
815,2019-03-25,3936.12,33192.890217,4341.8966666666665,4775.868461538462,40.25316061376678,-4365307.992952005,4292.891673378117,4714.2185723141265,-421.32689893600946,19.108291725072107,-64.0
816,2019-03-24,3992.18,17179.850648,4257.499166666667,4727.156923076923,40.553892361305934,-4348128.142304005,4246.628339012253,4660.734233624191,-414.1058946119383,22.43824856827335,-64.0
817,2019-03-23,4006.01,17302.604318,4183.111666666667,4678.986538461539,40.71575604503408,-4330825.537986005,4209.6101330103675,4612.236142244621,-402.6260092342536,23.277345223819026,-64.0
818,2019-03-22,3986.93,20022.606318,4104.305833333333,4632.221538461539,40.90382896458919,-4350848.1443040045,4175.351651008773,4565.91716874502,-390.5655177362469,22.909119892660144,-64.0
819,2019-03-21,3980.64,35997.682119,4031.251666666667,4586.333846153846,41.41272477063353,-4386845.826423004,4145.396012392039,4522.563304393537,-377.167292001498,22.781177830478015,-64.0
820,2019-03-20,4043.04,23432.300255,4022.7916666666665,4548.568076923077,41.88527087624614,-4363413.526168005,4129.648933562495,4487.043059623645,-357.39412606115,27.129061651606875,-64.0
821,2019-03-19,4015.53,19893.741815,4015.4233333333336,4505.653846153846,42.365905211681174,-4383307.267983004,4112.09217455288,4452.116166318189,-340.0239917653089,26.42270709281945,-64.0
822,2019-03-18,3987.81,22454.47801,4005.4933333333333,4464.984230769231,42.88160318662801,-4405761.745993004,4092.9718400062834,4417.723116961287,-324.7512769550035,25.69668083279103,-64.0
823,2019-03-17,3981.14,18814.255577,3995.3174999999997,4423.950769230769,43.37500899764176,-4424576.001570004,4075.7669415437786,4385.383626816007,-309.6166852722281,25.51500881791152,-64.0
824,2019-03-16,4005.98,28568.376124,3993.498333333333,4385.051153846154,43.23779268643718,-4396007.625446004,4065.030488998582,4357.279654459266,-292.2491654606838,27.568757872231785,-56.0
